Model|Stamp|Lower|Upper|Solver_Time|Overall_Time|Solver_Info|Method
model1_LPV4D_x562.3|2020.04.14. Tuesday 07:24:13 id:2266|0|2.6699170221645|20.482329|27.811171|5x5x5, Successfully solved (MOSEK)|Req grid for T=Inf, delta=0: InfxInfxInf (Wu, 1995)
model1_LPV4D_x1000|2020.04.14. Tuesday 07:24:42 id:2266|0|2.67562535952935|20.781073|28.111277|5x5x5, Successfully solved (MOSEK)|Req grid for T=Inf, delta=0: InfxInfxInf (Wu, 1995)
model1_LPV4D_x100|2020.04.14. Tuesday 11:05:13 id:2268|0|2.61336309121569|18.721378|26.767989|5x5x5, Successfully solved (MOSEK)|Req grid for T=Inf, delta=0: InfxInfxInf (Wu, 1995)
model1_LPV4D_x10000|2020.04.14. Tuesday 11:05:47 id:2268|0|2.68230623884261|24.88263|32.396539|5x5x5, Successfully solved (MOSEK)|Req grid for T=Inf, delta=0: InfxInfxInf (Wu, 1995)
model1_LPV4D_x100000|2020.04.14. Tuesday 11:06:14 id:2268|0|2.68297884083118|17.53163|25.050708|5x5x5, Successfully solved (MOSEK)|Req grid for T=Inf, delta=0: InfxInfxInf (Wu, 1995)
model1_LPV4D_x1|2020.04.14. Tuesday 11:22:27 id:2269|0|2.24860849805858|0|34.962818|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x1|2020.04.14. Tuesday 11:25:35 id:2269|2.02851105805651|2.36441711121937|0|186.313188|tvreal, lpvwcgain|LPVTools - LFT/IQC
model1_LPV4D_x1.25893|2020.04.14. Tuesday 11:26:14 id:2269|0|2.33489739789273|0|38.4313|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x1.25893|2020.04.14. Tuesday 11:28:26 id:2269|2.02851105805651|2.4367725457923|0|130.922466|tvreal, lpvwcgain|LPVTools - LFT/IQC
model1_LPV4D_x1.58489|2020.04.14. Tuesday 11:29:03 id:2269|0|2.46624325313265|0|37.449214|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x1.58489|2020.04.14. Tuesday 11:31:21 id:2269|2.02851105805651|2.53209068828656|0|137.220605|tvreal, lpvwcgain|LPVTools - LFT/IQC
model1_LPV4D_x1.99526|2020.04.14. Tuesday 11:32:00 id:2269|0|2.63818392553585|0|38.325577|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x1.99526|2020.04.14. Tuesday 11:34:20 id:2269|2.02851105805651|2.65813032943977|0|139.676024|tvreal, lpvwcgain|LPVTools - LFT/IQC
model1_LPV4D_x2.51189|2020.04.14. Tuesday 11:34:57 id:2269|0|2.80114519282558|0|37.506561|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x2.51189|2020.04.14. Tuesday 11:36:57 id:2269|2.02851105805651|2.79533678925321|0|118.83313|tvreal, lpvwcgain|LPVTools - LFT/IQC
